Nome da Origem;Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
1.csv;fog;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;06:52:22;17/01/2024;06:55:24;3 minutes 2 seconds;Deploy;00:02:15
1.csv;fog;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;06:52:25;17/01/2024;06:55:24;2 minutes 59 seconds;Deploy;00:02:15
1.csv;fog;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;06:52:20;17/01/2024;06:55:25;3 minutes 5 seconds;Deploy;00:02:16
1.csv;fog;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;17/01/2024;06:52:44;17/01/2024;06:55:25;2 minutes 41 seconds;Deploy;00:02:16
1.csv;fog;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;06:53:09;17/01/2024;06:55:32;2 minutes 23 seconds;Deploy;00:02:23
1.csv;fog;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;06:52:19;17/01/2024;06:55:24;3 minutes 5 seconds;Deploy;00:02:15
1.csv;fog;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;06:52:22;17/01/2024;06:55:25;3 minutes 3 seconds;Deploy;00:02:16
1.csv;fog;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;06:52:25;17/01/2024;06:55:25;3 minutes ;Deploy;00:02:16
1.csv;fog;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;06:52:24;17/01/2024;06:55:24;3 minutes ;Deploy;00:02:15
1.csv;fog;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;06:52:24;17/01/2024;06:55:25;3 minutes 1 second;Deploy;00:02:16
